Fecha,M0,INPC,Salarios
Mar 2017,1237474564,94.7224893322916,329.73
Abr 2017,1236341546,94.8389326281628,330.1
May 2017,1235555878,94.7254943205721,335.59
Jun 2017,1241520623,94.9636396418054,334.21
Jul 2017,1239356666,95.3227357413306,337.37
Ago 2017,1224096157,95.7937676543061,336.24
Sep 2017,1227740155,96.0935152352906,332.39
Oct 2017,1241617929,96.6982691267504,331.29
Nov 2017,1258581647,97.6951739888215,333.01
Dic 2017,1374048888,98.2728829857563,336.26
Ene 2018,1338246168,98.7949996995012,348.11
Feb 2018,1336064544,99.1713744816395,349.38
Mar 2018,1357781152,99.4921569805878,349.31
Abr 2018,1354357249,99.1548470460965,349.37
May 2018,1363423634,98.9940801730873,353.83
Jun 2018,1394476774,99.3764649317868,353.45
Jul 2018,1381809030,99.9090991045135,357.43
Ago 2018,1381385664,100.49,357.43
